created_at,text,clean_text
2025-04-26 16:20:32+00:00,"CAR-FREE EARTH DAY: The annual event promotes activism and education surrounding climate change, environmentalism and sustainable modes of transportation.
https://t.co/HjSM6gOc1v","CAR-FREE EARTH DAY: The annual event promotes activism and education surrounding climate change, environmentalism and sustainable modes of transportation."
2025-04-26 16:20:27+00:00,"@catturd2 The guy who lied to us for years about climate change now wants to preach about Nazism….😵‍💫🤪.  Every intelligent study done on the topic clearly shows the Left, the Dem party, is the Nazi flag bearer….they support socialism too, aka Bernie Sanders!!","The guy who lied to us for years about climate change now wants to preach about Nazism.. Every intelligent study done on the topic clearly shows the Left, the Dem party, is the Nazi flag bearer.they support socialism too, aka Bernie Sanders!!"
2025-04-26 16:20:26+00:00,"@liz_churchill10 THIS MORON IS STILL TALKING.. HOW DID YOU MAKE ALL THAT MONEY ON CLIMATE CHANGE ? RULES FOR OTHERS 
WHILE YOU GUYS MAKE MILLIONS … POS",THIS MORON IS STILL TALKING.. HOW DID YOU MAKE ALL THAT MONEY ON CLIMATE CHANGE ? RULES FOR OTHERS WHILE YOU GUYS MAKE MILLIONS POS
2025-04-26 16:20:00+00:00,"Meeting the Glasgow Declaration’s 2035 target requires rapid #ElectricVehicle adoption, itself part of the larger, important work of averting the worst effects of climate change. ⬇️⬇️
https://t.co/cUMPCj5qyY","Meeting the Glasgow Declarations 2035 target requires rapid ElectricVehicle adoption, itself part of the larger, important work of averting the worst effects of climate change."
2025-04-26 16:20:00+00:00,@FanJDVance Inventing the Internet and inventing Global Warming and Climate change,Inventing the Internet and inventing Global Warming and Climate change
2025-04-26 16:19:52+00:00,"""Global Warming"" ""Climate Change ""Climate Action "" are the least used word in recent years. https://t.co/hjhweFDjN6","""Global Warming"" ""Climate Change ""Climate Action "" are the least used word in recent years."
2025-04-26 16:19:49+00:00,"@JustStop_Oil Thank you for your efforts!
💚🌍🌎🌏💚📢

People, communities, cities, businesses, schools, and organizations are taking #ClimateAction to help fight climate change.

What changes will YOU make?

Here are the top 10 things you can do about #climatechange:
https://t.co/OMpetYy8WB https://t.co/2d7GUYGNZB","Thank you for your efforts! People, communities, cities, businesses, schools, and organizations are taking ClimateAction to help fight climate change. What changes will YOU make? Here are the top 10 things you can do about climatechange:"
2025-04-26 16:19:46+00:00,@brothatsayikes @grishkabot @CMDR_Solace @jamesberke_ Not to mention the ever growing housing bubble that has not been minigated and the ever increasingly troubling problem of climate change and Bulb heat summers,Not to mention the ever growing housing bubble that has not been minigated and the ever increasingly troubling problem of climate change and Bulb heat summers
2025-04-26 16:19:26+00:00,"@trumprealparody A. YES, closing the border is a national security threat. It’s real. Climate Change isn’t. It’s another leftist agenda aimed at controlling the masses.","A. YES, closing the border is a national security threat. Its real. Climate Change isnt. Its another leftist agenda aimed at controlling the masses."
2025-04-26 16:19:09+00:00,"@awawawhoami ""I cannot do the simpliest bit of research and will blindly say shit on the internet to make me look smart""

Proton got into a situation where it was either break the law or give in. They gave in, then worked on trying (and succeeding) to change the law.

https://t.co/GtYWkC90Fj","""I cannot do the simpliest bit of research and will blindly say shit on the internet to make me look smart"" Proton got into a situation where it was either break the law or give in. They gave in, then worked on trying (and succeeding) to change the law."
2025-04-26 16:18:58+00:00,"@PrinceSomorin As climate change continues to increase both the likelihood and severity of weather events especially precipitation, the need for accurate forecasting tool is always essential for effective planning and execution….🧐nugget of info 🤔.","As climate change continues to increase both the likelihood and severity of weather events especially precipitation, the need for accurate forecasting tool is always essential for effective planning and execution.nugget of info ."
2025-04-26 16:18:54+00:00,"One day there will be coordinated, Oct 7th style, attacks in multiple western cities that will shock the Christian world and make them realise the greatest threat to humanity is not climate change. https://t.co/KjTJ3Kprmx","One day there will be coordinated, Oct 7th style, attacks in multiple western cities that will shock the Christian world and make them realise the greatest threat to humanity is not climate change."
